"lab_id","num_valid","num_invalid","pct_accurate","rank"
"4d3d5d2d-46ca-48af-9415-8a5fe69fa642","143126","0","100.0","1"
"fe30310a-1657-43b2-9218-2ee0ec5d9aa5","168160","0","100.0","1"
"fcab9c55-cb5a-4ca8-a3af-31dcbe05a50c","138842","0","100.0","1"
"4f8c9ae1-ccde-4df6-a9aa-48c4fbd08053","161410","0","100.0","1"
"f349ecaf-1957-48e4-bab3-4c01a693d935","813288","0","100.0","1"
"0630c931-9d97-4792-be29-5a4fe0a81669","117448","0","100.0","1"
"e86610de-3f70-4c55-8f70-435cd189a906","96432","0","100.0","1"
"5a187ec0-a15d-4aef-8104-af02c5d17723","185688","0","100.0","1"
"41b85a05-c461-4295-bf99-efbeaaf458a9","223833","0","100.0","1"
"dfb02fe6-5cb9-4a21-94e4-dea8d34aa578","115829","0","100.0","1"
"dbe3cb95-e81f-4fca-9574-28f430fe7c72","1892035","0","100.0","1"
"d0b3e1fa-8cce-4203-ae4c-556a193b5810","127559","0","100.0","1"
"cf2e7b9e-790a-4cda-b4ba-f5bca3e51283","194046","0","100.0","1"
"ce73bcd8-31db-4c3b-b877-8108699de63d","121126","0","100.0","1"
"c6808c7a-1051-4add-9aa4-dc470bab6250","210153","0","100.0","1"
"5d4f9bbe-7b87-4d4d-a96d-0a8fb3853c8e","133295","0","100.0","1"
"3daa6982-aa74-43ec-939a-59ccd70a21d2","239687","0","100.0","1"
"39b4282b-f988-4f7a-b8ca-849f72ad49a6","227538","0","100.0","1"
"17415630-9d34-4f1f-a393-fc3f4e00219f","118874","0","100.0","1"
"6594a1a9-302f-46ea-9fc6-e7e0b0adf8b4","230987","0","100.0","1"
"a96b8b34-da96-45f8-b7d2-bf6674204ab1","146729","0","100.0","1"
"696ee8a0-852e-40d5-b9d5-8db57e530daa","98847","0","100.0","1"
"2013426a-2af2-4bee-9066-02d1432d4263","116491","0","100.0","1"
"a33fddfc-60e3-4511-8229-97be4ed68815","122659","0","100.0","1"
"a0a661c7-b4dd-4283-8600-969f57f58f40","133392","0","100.0","1"
"7a3f5a50-0956-4d6a-9691-1bb3c5b30abe","233174","0","100.0","1"
"9df401d3-9acc-4c61-bcee-94ffdd99e3c7","166167","0","100.0","1"
"26d2f987-8714-45b4-8eb3-bc4d55cda0ff","211890","0","100.0","1"
"834919e8-b944-4e20-ab64-bce3f119db41","185171","0","100.0","1"
"8a8373e4-2f93-4b53-ad4f-3df003a65a8b","137732","0","100.0","1"
"8783f437-a8cc-49b0-ad5d-a04e1b4dc35f","218409","0","100.0","1"
"85cd8eb2-deac-4a5d-961d-805d8756c91d","213040","0","100.0","1"
"837bf407-1462-4c51-9f81-1014261d19cf","138033","0","100.0","1"
"a6bf0710-5944-4ce3-83f6-8d4ee6756b83","1626867","2","99.9998770644717","2"
"b89af1d7-c151-45d8-b6a6-53b537e1989d","195003","1","99.99948719000636","3"
"acec1abb-5a00-4860-bcf5-60118b34e216","166919","1","99.99940091061586","4"
"5d32c450-2c13-4121-b491-4d9fab48122c","133117","1","99.99924878679066","5"
"ebda043c-4221-4411-b13c-fe144beac2a3","123766","1","99.99919203018575","6"
"6a7c358c-94b3-4046-a26b-2bd0b1266b21","171814","2","99.99883596405456","7"
