"day_of_week","day_of_week_str","avg_batches_tested"
"1","Mon","335794.34"
"2","Tue","448277.8686868687"
"3","Wed","560814.85"
"4","Thu","448304.6"
"5","Fri","223372.54"
"6","Sat","110838.18"
"7","Sun","110845.9504950495"
