"product_id","total_potency","thc","thca","cbd","cbda","rank"
"bcddb81d-2500-4d6c-90cd-4c1da3c859c1","49.09","3.2","36.68","7.78","1.43","1"
"7226a48c-01b4-43db-91dc-18350ce873ef","46.38","0.66","38.63","5.98","1.11","2"
"06f9f30d-815f-4b79-b200-5b1e676babf6","44.21","1.41","34.91","6.93","0.96","3"
"7491d0f4-951c-4b48-8578-430aeefe8bbe","44.1","1.38","36.76","5.23","0.73","4"
"a8d3ead3-5571-4114-b9b2-0dc368576781","44.08","2.47","35.59","4.9","1.12","5"
