"state"
"AK"
"AL"
"AR"
"AZ"
"Ala."
"Alabama"
"Alaska"
"Ariz."
"Arizona"
"Ark."
"Arkansas"
"CA"
"CO"
"CT"
"Calif."
"California"
"Colo."
"Colorado"
"Conn."
"Connecticut"
"DE"
"Del."
"Delaware"
"FL"
"Fla."
"Florida"
"GA"
"Ga."
"Georgia"
"HI"
"Hawaii"
"IA"
"ID"
"IL"
"IN"
"Idaho"
"Ill."
"Illinois"
"Ind."
"Indiana"
"Iowa"
"KS"
"KY"
"Kans."
"Kansas"
"Kentucky"
"Ky."
"LA"
"La."
"Louisiana"
"MA"
"MD"
"ME"
"MI"
"MN"
"MO"
"MS"
"MT"
"Maine"
"Maryland"
"Mass."
"Massachusetts"
"Md."
"Mich."
"Michigan"
"Minn."
"Minnesota"
"Miss."
"Mississippi"
"Missouri"
"Mo."
"Mont."
"Montana"
"N.C."
"N.D."
"N.H."
"N.J."
"N.M."
"N.Y."
"NC"
"ND"
"NE"
"NH"
"NJ"
"NM"
"NV"
"NY"
"Nebr."
"Nebraska"
"Nev."
"Nevada"
"New Hampshire"
"New Jersey"
"New Mexico"
"New York"
"North Carolina"
"North Dakota"
"OH"
"OK"
"OR"
"Ohio"
"Okla."
"Oklahoma"
"Ore."
"Oregon"
"PA"
"Pa."
"Pennsylvania"
"R.I."
"RI"
"Rhode Island"
"S.C."
"S.D."
"SC"
"SD"
"South Carolina"
"South Dakota"
"TN"
"TX"
"Tenn."
"Tennessee"
"Tex."
"Texas"
"UT"
"Utah"
"VA"
"VT"
"Va."
"Vermont"
"Virginia"
"Vt."
"W.Va."
"WA"
"WI"
"WV"
"WY"
"Wash."
"Washington"
"West Virginia"
"Wis."
"Wisconsin"
"Wyo."
"Wyoming"
